k,dispersion,geometry,is_core,model,Mean_Error_m,Median_Error_m,Std_Error_m,Min_Error_m,Max_Error_m,Q25_Error_m,Q75_Error_m,ap_indices_str,ap_names_str
3,15.01849145743437,,False,Transformer,2.5163217866751992,1.8251005224375199,2.3065755722028145,0.3462387569843068,8.31416548983276,0.946581207602988,3.1752929829188616,"(1, 5, 6)","('ap1', 'ap5', 'ap6')"
3,7.39934634239519,,False,KWNN,3.656735521345497,2.784831576172025,1.7149729532742757,1.6358168464611287,6.538481008113764,2.517202072184661,4.6189175636995,"(2, 3, 4)","('ap2', 'ap3', 'ap4')"
3,7.39934634239519,,False,RF,3.4896047160754957,3.3832832337834207,1.6454225975209364,1.5860463549341803,6.634857574959691,1.7997857761411498,4.890636859346643,"(2, 3, 4)","('ap2', 'ap3', 'ap4')"
3,7.39934634239519,,False,Transformer,3.686157220845196,4.080431489771261,1.4863015222771154,0.8195405463604828,6.084159578447454,2.8719292284554903,4.544395492461507,"(2, 3, 4)","('ap2', 'ap3', 'ap4')"
3,13.088448546914568,,False,KWNN,5.195482844769625,4.4403776895128555,4.117252538014614,0.5058374960501607,12.543653316456018,1.5748007984336967,8.245904680976818,"(2, 3, 5)","('ap2', 'ap3', 'ap5')"
3,13.088448546914568,,False,RF,2.992429489844423,1.9460401460401582,1.9706919820990414,0.47126739755684355,6.550441366045497,1.5926306068891178,4.633137550300012,"(2, 3, 5)","('ap2', 'ap3', 'ap5')"
3,13.088448546914568,,False,Transformer,4.122419171456724,3.680666372463907,2.2878400357033013,1.1933341179645325,9.412226334653916,2.561877330101373,5.146533938171977,"(2, 3, 5)","('ap2', 'ap3', 'ap5')"
3,10.0,,False,KWNN,2.722930661353804,2.4577015660412984,1.8970945792482083,0.4807663087429864,6.872003000654005,1.0691505207548542,3.2620474164034907,"(2, 3, 6)","('ap2', 'ap3', 'ap6')"
3,10.0,,False,RF,1.7994497833021756,1.606591422857722,0.8789669217871485,0.7244418541194317,3.5097824661935957,1.1869815331335194,1.8983331741293465,"(2, 3, 6)","('ap2', 'ap3', 'ap6')"
3,10.0,,False,Transformer,2.923494063678591,2.913374543604488,1.1539457606325458,1.5917018852205262,5.006971948941369,1.613046735728419,3.5418833755051136,"(2, 3, 6)","('ap2', 'ap3', 'ap6')"
3,13.477060230841714,,False,KWNN,4.369567844889192,2.8803180923659055,3.6934926468500113,0.39720991271693373,13.058572078331045,2.0700196494906407,6.234219343920472,"(2, 4, 5)","('ap2', 'ap4', 'ap5')"
3,13.477060230841714,,False,RF,3.721311858902643,4.243267839766894,2.029883588591966,0.4467540822421212,6.928696316046764,2.2564562681337303,4.850160451985068,"(2, 4, 5)","('ap2', 'ap4', 'ap5')"
3,13.477060230841714,,False,Transformer,4.236651131906036,3.537367981791576,2.1274672938385053,1.8370437927007113,8.953459228419199,2.733116110266019,5.079190272185562,"(2, 4, 5)","('ap2', 'ap4', 'ap5')"
3,10.19440127810669,,False,KWNN,1.9204864828673556,1.440663752684834,1.5296905214654255,0.4890477029360327,5.897849516534074,1.1937380217461218,1.8832343199181234,"(2, 4, 6)","('ap2', 'ap4', 'ap6')"
3,10.19440127810669,,False,RF,2.5640990520200635,2.588120746796795,0.8453254726808752,0.7313642662859596,3.8415475123965344,2.190541999140852,3.005788608668281,"(2, 4, 6)","('ap2', 'ap4', 'ap6')"
3,10.19440127810669,,False,Transformer,2.9136916716814287,3.442435953567858,1.040547972327089,0.8604187489819821,3.9926577828865977,2.5177323879964377,3.7071698410782004,"(2, 4, 6)","('ap2', 'ap4', 'ap6')"
3,13.357780696146662,,False,KWNN,2.3400141450644494,2.5110835212841898,0.7180602098884042,0.8741118961723363,3.6792233442201994,2.029980620804597,2.5978676450747105,"(2, 5, 6)","('ap2', 'ap5', 'ap6')"
3,13.357780696146662,,False,RF,1.7161876389543598,1.159572766151396,1.0828276368996097,0.5635804201708927,3.518287198339556,1.0405611995457067,2.894280159210576,"(2, 5, 6)","('ap2', 'ap5', 'ap6')"
3,13.357780696146662,,False,Transformer,2.0649753295158613,1.7290779417578563,0.8598166610219912,0.9448606845549035,3.5923925727093966,1.378188076814645,2.372553989094839,"(2, 5, 6)","('ap2', 'ap5', 'ap6')"
3,7.555170542729357,,False,KWNN,7.473202662969688,8.082175761050308,4.495001763964232,1.5074643630850475,12.982792341663037,2.1151765698851777,12.517928745421829,"(3, 4, 5)","('ap3', 'ap4', 'ap5')"
3,7.555170542729357,,False,RF,5.944104672464666,5.4264408077486666,3.554704844053763,1.1325317169951576,11.331532854825953,3.451103187388056,8.656096885432833,"(3, 4, 5)","('ap3', 'ap4', 'ap5')"
3,7.555170542729357,,False,Transformer,4.5375685609979,5.097702925892596,2.684056263781408,0.5246844751235973,9.500939350411334,2.625676286887631,5.922754492170195,"(3, 4, 5)","('ap3', 'ap4', 'ap5')"
3,4.128388269044835,clustered,True,KWNN,2.3329033758145674,1.759367528808139,2.1950260246116513,0.44685160167008703,7.723016801247709,0.741128478738849,2.634308079070098,"(3, 4, 6)","('ap3', 'ap4', 'ap6')"
3,4.128388269044835,clustered,True,RF,2.274407621686345,1.6786518400192458,1.3637626253101538,0.8408666005972647,4.6509080231713895,1.1374673797520525,2.930951942628879,"(3, 4, 6)","('ap3', 'ap4', 'ap6')"
3,4.128388269044835,clustered,True,Transformer,3.43446186164156,3.7454374126509205,1.6205812761941532,0.7326436160747896,6.07279668670775,2.221280233453551,4.443865876759968,"(3, 4, 6)","('ap3', 'ap4', 'ap6')"
3,6.8352373504294945,,False,KWNN,3.4368998989324355,2.5874772130604806,2.125095619798596,0.8340466226359942,8.315228325802691,2.404566926907412,4.798429821463257,"(3, 5, 6)","('ap3', 'ap5', 'ap6')"
3,6.8352373504294945,,False,RF,3.752824209848206,3.244713252353742,2.5455072814622226,0.46524402199276027,9.224734888331481,2.0283811895203527,5.064936568210899,"(3, 5, 6)","('ap3', 'ap5', 'ap6')"
3,6.8352373504294945,,False,Transformer,1.9983166206372103,1.8280212413109769,0.7576824129339265,0.9158270439512276,3.635248304814966,1.6285484747783843,2.068342510739808,"(3, 5, 6)","('ap3', 'ap5', 'ap6')"
